datetime,duration_ms,status,keyword_status
2026-02-15T22:59:52+00:00,167,success,found
2026-02-15T23:01:12+00:00,191,success,found
2026-02-15T23:12:24+00:00,317,success,found
2026-02-15T23:25:37+00:00,248,success,found
2026-02-15T23:39:27+00:00,364,success,found
2026-02-15T23:50:41+00:00,282,success,found
2026-02-15T23:59:45+00:00,357,success,found
2026-02-16T00:49:10+00:00,308,success,found
2026-02-16T01:21:56+00:00,197,success,found
2026-02-16T02:09:43+00:00,281,success,found
2026-02-16T03:16:39+00:00,139,success,found
